Age,Suzuki DL 650 V-Strom,Suzuki SV 650S,Suzuki SV 650,Suzuki GSX-R 1000,Honda CB 600F Hornet,Honda XL 1000V Varadero,Honda CBR 1000RR Fireblade,Triumph Speed Triple,Ducati Scrambler,BMW F 650 GS,BMW F 800 GS,BMW R 1200 GS,Kawasaki ER 6N,Kawasaki Versys 650,Kawasaki Z 1000,Yamaha FZ 1 Fazer,Yamaha FZ6 Fazer,Yamaha Yamaha XJR 1300,Yamaha XV 535 Virago,Yamaha YZF-R6
0,215900,,170900,408400,,,424900,,262000,,288500,482790,,214900,304900,,,289990,,389990
1,175000,,138450,,,,,,265000,,239500,479500,119990,199500,,,,268900,,
2,169000,,,,,,304495,215000,154450,,,360000,126900,220000,230000,,,299990,,
3,125000,,,,,,280000,199000,,,259000,360000,,126500,,,,,,
4,145000,99000,,,122450,,275000,213000,,,219990,340000,115950,,,195000,,169000,,
5,147000,,,229000,122500,,152500,194500,,139900,199000,290000,97450,129000,186000,,,169000,,
6,134500,,69000,187500,112500,,169000,168500,,159000,197450,294500,107499,122450,179999,,,,,185000
7,115000,,,145000,106950,163000,175000,159000,,132500,175000,224500,90495,115000,169000,116000,,159000,,
8,109900,78950,66499,103000,92000,159900,154500,130000,,,167000,214500,79999,83499,137000,127000,72450,,,169950
9,96500,74999,66000,145000,87000,147450,142500,134000,,130000,159990,198000,73450,85000,125000,125000,79999,151500,,
10,89000,59999,72499,131000,80000,139999,128000,117450,,86900,,173500,67450,84999,119000,115000,71999,141000,,140500
11,84999,54000,67500,110000,71950,130500,124500,124900,,87000,,169000,56000,,85000,109999,68500,,,121000
12,82950,59950,64000,120000,69000,119900,114000,103500,,110000,,165000,60000,,89950,,67500,,,94900
13,78000,49999,97499,92500,59000,111500,109990,,,73500,,185500,,,82500,72900,67000,89000,,80000
14,,44000,59000,68000,53500,105000,,78500,,65500,,,,,81000,,,96000,91500,78000
15,,43000,37000,45000,51000,89999,42000,,,62500,,,,,,,,98000,,58000
16,,37000,45000,64000,77500,85000,,,,66500,,,,,,,,85000,75000,67000
17,,40000,43500,,56950,74500,,,,50000,,,,,,,,85000,69994,55000
18,,38000,39450,,40000,69000,64000,,,,,,,,,,,89000,65000,54999
19,,,,,49250,98000,,,,,,,,,,,,,60000,
20,,,,,,,,,,,,,,,,,,,59500,
21,,,,,,,,,,,,,,,,,,,49999,
22,,,,,,,,,,,,,,,,,,,54000,
23,,,,,,,,,,,,,,,,,,,55000,
24,,,,,,,,,,,,,,,,,,,48499,
25,,,,,,,,,,,,,,,,,,,56000,
26,,,,,,,,,,,,,,,,,,,44500,
27,,,,,,,,,,,,,,,,,,,50000,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
